model_name,prompt_idx,prompt_type,prompt_length,layer_idx,head_idx,sketch_dim,theta,topk_overlap,rank_correlation,false_elimination_rate,elimination_rate,num_tokens
gpt2,0,short,10,3,6,8,0.3,0.75,0.7922077922077924,0.5,0.5,10
gpt2,0,short,10,3,7,8,0.3,0.75,0.8129870129870131,0.875,0.9,10
gpt2,0,short,10,3,8,8,0.3,0.875,0.92987012987013,0.0,0.0,10
gpt2,0,short,10,3,9,8,0.3,0.75,0.768831168831169,0.875,0.9,10
gpt2,0,short,10,3,10,8,0.3,0.875,0.8961038961038963,0.625,0.7,10
gpt2,0,short,10,3,11,8,0.3,0.875,0.9662337662337663,0.625,0.7,10
gpt2,0,short,10,3,0,8,0.5,0.875,0.8025974025974028,0.125,0.2,10
gpt2,0,short,10,3,1,8,0.5,1.0,0.9870129870129871,0.75,0.8,10
gpt2,0,short,10,3,2,8,0.5,0.875,0.8207792207792209,0.125,0.2,10
gpt2,0,short,10,3,3,8,0.5,1.0,0.9376623376623378,0.0,0.0,10
gpt2,0,short,10,3,4,8,0.5,0.75,0.7324675324675326,0.625,0.6,10
gpt2,0,short,10,3,5,8,0.5,0.875,0.916883116883117,0.5,0.6,10
gpt2,0,short,10,3,6,8,0.5,0.75,0.7922077922077924,0.5,0.5,10
gpt2,0,short,10,3,7,8,0.5,0.75,0.8129870129870131,0.875,0.9,10
gpt2,0,short,10,3,8,8,0.5,0.875,0.92987012987013,0.0,0.0,10
gpt2,0,short,10,3,9,8,0.5,0.75,0.768831168831169,0.875,0.9,10
gpt2,0,short,10,3,10,8,0.5,0.875,0.8961038961038963,0.625,0.7,10
gpt2,0,short,10,3,11,8,0.5,0.875,0.9662337662337663,0.625,0.7,10
gpt2,0,short,10,3,0,8,0.7,0.875,0.8025974025974028,0.125,0.2,10
gpt2,0,short,10,3,1,8,0.7,1.0,0.9870129870129871,0.75,0.8,10
gpt2,0,short,10,3,2,8,0.7,0.875,0.8207792207792209,0.125,0.2,10
gpt2,0,short,10,3,3,8,0.7,1.0,0.9376623376623378,0.0,0.0,10
gpt2,0,short,10,3,4,8,0.7,0.75,0.7324675324675326,0.625,0.6,10
gpt2,0,short,10,3,5,8,0.7,0.875,0.916883116883117,0.5,0.6,10
gpt2,0,short,10,3,6,8,0.7,0.75,0.7922077922077924,0.5,0.5,10
gpt2,0,short,10,3,7,8,0.7,0.75,0.8129870129870131,0.875,0.9,10
gpt2,0,short,10,3,8,8,0.7,0.875,0.92987012987013,0.0,0.0,10
gpt2,0,short,10,3,9,8,0.7,0.75,0.768831168831169,0.875,0.9,10
gpt2,0,short,10,3,10,8,0.7,0.875,0.8961038961038963,0.625,0.7,10
gpt2,0,short,10,3,11,8,0.7,0.875,0.9662337662337663,0.625,0.7,10
gpt2,0,short,10,3,0,8,0.9,0.875,0.8025974025974028,0.125,0.2,10
gpt2,0,short,10,3,1,8,0.9,1.0,0.9870129870129871,0.75,0.8,10
gpt2,0,short,10,3,2,8,0.9,0.875,0.8207792207792209,0.125,0.2,10
gpt2,0,short,10,3,3,8,0.9,1.0,0.9376623376623378,0.0,0.0,10
gpt2,0,short,10,3,4,8,0.9,0.75,0.7324675324675326,0.625,0.6,10
gpt2,0,short,10,3,5,8,0.9,0.875,0.916883116883117,0.5,0.6,10
gpt2,0,short,10,3,6,8,0.9,0.75,0.7922077922077924,0.5,0.5,10
gpt2,0,short,10,3,7,8,0.9,0.75,0.8129870129870131,0.875,0.9,10
gpt2,0,short,10,3,8,8,0.9,0.875,0.92987012987013,0.0,0.0,10
gpt2,0,short,10,3,9,8,0.9,0.75,0.768831168831169,0.875,0.9,10
gpt2,0,short,10,3,10,8,0.9,0.875,0.8961038961038963,0.625,0.7,10
gpt2,0,short,10,3,11,8,0.9,0.875,0.9662337662337663,0.625,0.7,10
gpt2,0,short,10,3,0,16,0.1,1.0,0.9870129870129871,0.75,0.8,10
gpt2,0,short,10,3,1,16,0.1,0.875,0.9376623376623378,0.75,0.8,10
gpt2,0,short,10,3,2,16,0.1,0.875,0.8779220779220781,0.875,0.9,10
gpt2,0,short,10,3,3,16,0.1,0.875,0.9636363636363637,0.875,0.9,10
gpt2,0,short,10,3,4,16,0.1,0.75,0.8337662337662339,0.875,0.9,10
